YEAR,MONTH,IDADMIN1,IDADMIN2,ADMIN1,ADMIN2,CLIN,CONF_TOTAL,CONF_MIC,CONF_RDT,CONF_PCR,POS_0_11_MO_M,POS_0_11_MO_F,PO_1_4_YO_M,PO_1_4_YO_F,POS_5_9_YO_M,POS_5_9_YO_F,POS_10_14_YO_M,POS_10_14_YO_F,POS_15_64_YO_M,POS_15_64_YO_F,POS_OVER_64_M,POS_OVER_64_F,POS_0_4,POS_5_9,POS_10_14,POS_15_64,POS_OVER_64,POS_PREGNANT,POS_PF,POS_PV,POS_PM_PO,POS_MIX,POS_PK,POS_MALE,POS_FEMALE,POS_GENDER_TOTAL,POS_SPECIES_TOTAL
2019,7,94,9431,PAPUA,MAMBERAMO TENGAH,0,53,16,37,0,0,0,2,0,4,0,0,0,1,0,0,0,2,4,0,1,0,0,6,0,0,1,0,3,4,7,7
2019,7,94,9432,PAPUA,YALIMO,278,279,268,11,0,0,0,4,0,2,0,2,0,25,0,0,0,4,2,2,25,0,0,10,21,0,2,0,19,14,33,33
2019,7,94,9433,PAPUA,PUNCAK,0,95,49,46,0,1,0,6,0,8,0,3,0,53,0,0,0,7,8,3,53,0,0,28,32,0,11,0,50,21,71,71
2019,7,94,9434,PAPUA,DOGIYAI,24,26,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,94,9435,PAPUA,INTAN JAYA,0,136,0,136,0,0,0,3,0,3,0,1,0,13,0,0,0,3,3,1,13,0,0,7,7,0,6,0,13,7,20,20
2019,7,94,9436,PAPUA,DEIYAI,0,22,4,18,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,5,0,0,4,2,0,0,0,2,4,6,6
2019,7,94,9471,PAPUA,KOTA JAYAPURA,5165,9298,8921,377,0,23,0,223,0,291,0,312,0,2039,0,41,0,246,291,312,2039,41,0,1755,1022,23,131,0,1848,1081,2929,2931
2019,8,91,9101,PAPUA BARAT,FAKFAK,2131,2693,2583,110,0,0,0,8,0,5,0,2,0,20,0,0,0,8,5,2,20,0,0,9,22,0,4,0,18,17,35,35
2019,8,91,9102,PAPUA BARAT,KAIMANA,355,477,330,147,0,2,0,5,0,4,0,2,0,2,0,0,0,7,4,2,2,0,0,6,3,0,6,0,8,7,15,15
2019,8,91,9103,PAPUA BARAT,TELUK WONDAMA,569,1045,728,317,0,1,0,30,0,24,0,9,0,40,0,2,0,31,24,9,40,2,0,87,14,0,5,0,54,52,106,106
